ID , Source_Name , RA , Dec , z , Rmag , Class , Flux_1GHz , Flux_143GHz , Flux_keV , Flux_Fermi
#id , Source name , RA (J2000.0) , Dec (J2000.0) , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Fermi flux1-100 GeV(ph/cm2/s)
90 , 5BZBJ0141-0928 , 01 41 25.82 , -09 28 43.71 , 0.73 ?  , 17.2 , BL Lac , 657 , 0 , 0.36 , 1.6e-9
91 , 5BZBJ0142-0544 , 01 42 38.87 , -05 44 01.28 , 0  , 18.3 , BL Lac , 456 , 0 , 0 , 0
92 , 5BZBJ0143-5845 , 01 43 47.41 , -58 45 51.4 , 0  , 16.6 , BL Lac , 28 , 0 , 11.4 , 1.2e-9
93 , 5BZBJ0144+2705 , 01 44 33.54 , +27 05 03.08 , 0  , 19.5 , BL Lac , 217 , 0 , 0.36 , 3.4e-9
94 , 5BZBJ0148+0129 , 01 48 33.78 , +01 29 01.28 , 0  , 19.6 , BL Lac , 88 , 0 , 0 , 5e-10
95 , 5BZBJ0153+7517 , 01 53 07.36 , +75 17 42.79 , 0  , 18.3 , BL Lac Candidate , 21 , 0 , 1.45 , 0
96 , 5BZBJ0154+0823 , 01 54 02.76 , +08 23 51.1 , 0  , 17.1 , BL Lac , 207 , 0 , 1.15 , 1.8e-9
97 , 5BZBJ0154+4433 , 01 54 54.46 , +44 33 37.9 , 0  , 18.9 , BL Lac , 37 , 0 , 0.1 , 4e-10
98 , 5BZBJ0156-5302 , 01 56 58.0 , -53 01 59.98 , 0  , 16.8 , BL Lac , 43 , 0 , 4.92 , 8e-10
99 , 5BZBJ0158-3932 , 01 58 38.11 , -39 32 03.8 , 0  , 17.7 , BL Lac , 132 , 0 , 0.19 , 9e-10
100 , 5BZBJ0159+1047 , 01 59 34.38 , +10 47 05.49 , 0.195  , 17.4 , BL Lac , 47 , 0 , 1.75 , 1.1e-9
